"Книга","Автор","Ссылка"
"Сто лет одиночества","Гарсиа Маркес, Габриэль","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE_%D0%BB%D0%B5%D1%82_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B0"
"Столпы Земли (роман)","Фоллетт, Кен","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE%D0%BB%D0%BF%D1%8B_%D0%97%D0%B5%D0%BC%D0%BB%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Дэвид Копперфильд (роман)","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%94%D1%8D%D0%B2%D0%B8%D0%B4_%D0%9A%D0%BE%D0%BF%D0%BF%D0%B5%D1%80%D1%84%D0%B8%D0%BB%D1%8C%D0%B4_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Чарли и шоколадная фабрика (повесть)","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%80%D0%BB%D0%B8_%D0%B8_%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Остров сокровищ","Стивенсон, Роберт Льюис","https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89"
"Город как Элис (страница отсутствует)","Шют, Невил",NA
"Доводы рассудка (роман)","Остин, Джейн","https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B2%D0%BE%D0%B4%D1%8B_%D1%80%D0%B0%D1%81%D1%81%D1%83%D0%B4%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Дюна (роман)","Герберт, Фрэнк","https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D0%BD%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Эмма (роман, 1815)","Остин, Джейн","https://ru.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1815)"
"Аня из Зелёных Мезонинов","Монтгомери, Люси","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%8F_%D0%B8%D0%B7_%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D1%85_%D0%9C%D0%B5%D0%B7%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2"
